Symb,Nu,H
S5E,0.7903612671438701,0.14946560132148937
SSMI,0.7239881397590568,0.22607313928567457
IBEX,0.6891023845133548,0.18792680993090888
GDAXI,0.7711148077234538,0.18556709088325163
FTSE,0.7541093213861865,0.1775010681089434
FCHI,0.7472083519795795,0.18145156862295264
BFX,0.7445752116577475,0.2142201498339749
AEX,0.7753596234854573,0.18839679859974104
SSEC,0.7853049885216785,0.2320776012706071
NSEI,0.6544695584382857,0.14419376574248535
N225,0.7028083059660697,0.16871816329374795
KSE,0.8069055730279063,0.13714426908030372
KS11,0.692947327820277,0.2439398051123741
HSI,0.7155606819342175,0.27112946432379886
BSESN,0.706277640246642,0.16081848788487538
AORD,0.7511913165730498,0.2595381663211436
SPX,0.8952880394982845,0.1899938427292866
RUT,0.7938853457260099,0.1915985161154749
MXX,0.711964096043042,0.1624286588747882
IXIC,0.8266847692730431,0.18188926386414217
DJI,0.848322656490257,0.17841837680691966
BVSP,0.7413680988491862,0.17321312903352495
